Relative Time (s),Velocity (m/s),Average Power ((m/s)^2/Hz),Weighted Frequency (Hz),Dominant Frequency (Hz),Velocity Upper Band,Velocity Lower Band,Moving Average,is_seismic
19.32075471698113,3.8409818170533e-17,1.447981010041478e-29,0.8451629638481238,0.0,3.8409818170533e-17,-3.8409818170533e-17,3.8409818170533e-17,0
53.13207547169812,7.134649523608063e-16,3.7819445273203006e-27,0.8617390002192059,0.0,2.046613605978249e-15,-1.29473883544691e-15,3.7593738526566965e-16,0
86.94339622641509,-6.161097914361147e-16,5.861108284092477e-26,0.8193141469479046,0.0,2.372103302190576e-15,-2.2815933161270928e-15,4.525499303174154e-17,0
120.75471698113208,2.5240025739279147e-15,3.484677939329663e-25,0.820628939968835,0.0,5.400558278272877e-15,-4.0706745017613074e-15,6.649418882557847e-16,0
154.56603773584905,1.3865446236336651e-14,1.2509038479078584e-24,0.8259012910872874,0.0,2.4370183839813904e-14,-1.7760098324069992e-14,3.3050427578719574e-15,0
188.377358490566,-1.8097852864391407e-14,4.820960114120733e-24,0.8530357826356952,0.0,3.5657899722912123e-14,-3.618211274792266e-14,-2.621065125052694e-16,0
222.18867924528303,-3.5922637878009336e-14,1.2112072899864597e-23,0.8524541656722189,0.0,5.209467917049516e-14,-6.280761544279258e-14,-5.3564681361487065e-15,0
256.0,5.894397864781259e-14,2.584335082328099e-23,0.8417966917305539,0.0,9.838971287303332e-14,-9.302753744934045e-14,2.6810877118464543e-15,0
289.811320754717,-1.6572171461150114e-14,3.753140989364406e-23,0.806090962197273,0.0,9.28438998020232e-14,-9.176022641677396e-14,5.418366926246133e-16,0
323.62264150943395,-1.8346881391628517e-13,8.379083434485849e-23,0.8238232355898742,0.0,2.0361637343199867e-13,-2.393348301685314e-13,-1.7859228368266362e-14,0
357.4339622641509,2.131487114480771e-13,1.8514415919559484e-22,0.8389658180211066,0.0,3.249724010216977e-13,-3.1868941415525893e-13,3.141493433219405e-15,0
391.245283018868,-2.516025602335092e-13,2.5208317355216475e-22,0.8051373957144775,0.0,3.824196439637327e-13,-4.1859399937508193e-13,-1.8087177705674644e-14,0
425.0566037735849,9.852663087706097e-14,4.268765344970689e-22,0.8495789470388585,0.0,3.9069908128318746e-13,-4.089328507587313e-13,-9.116884737771906e-15,0
458.8679245283019,-8.806611868432964e-15,7.122464526290426e-22,0.8563897035305699,0.0,3.7503614225885617e-13,-3.9322558703878017e-13,-9.09472238996198e-15,0
492.6792452830189,-2.560997656386826e-13,9.662627664090268e-22,0.8290550739589613,0.0,4.06691465536723e-13,-4.57814916083143e-13,-2.5561725273210024e-14,0
526.4905660377359,1.6391194554314762e-13,1.3456537822062189e-21,0.8572578013448284,0.0,4.3558292599561286e-13,-4.630221676899882e-13,-1.3719620847187668e-14,0
560.3018867924528,-9.41484370285938e-14,2.3842163785064963e-21,0.8643318662610764,0.0,4.219094284752154e-13,-4.588108838379915e-13,-1.845072768138803e-14,0
594.1132075471698,2.296744026792128e-13,4.332650185404592e-21,0.8595690007852855,0.0,4.690526089980033e-13,-4.783846054318238e-13,-4.66599821691021e-15,0
627.9245283018868,2.6035981284900823e-13,2.9307900363220445e-21,0.8526182305586855,0.0,5.164588317480221e-13,-4.978933743854301e-13,9.282728681296021e-15,0
661.7358490566038,-3.295806768012948e-14,2.068021255979884e-21,0.8531689323651097,0.0,5.01925354629585e-13,-4.875839769031356e-13,7.170688863224745e-15,0
695.5471698113207,3.765027449084292e-14,2.0646588261871907e-21,0.8568558776861185,0.0,4.914108610326467e-13,-4.741666656273765e-13,8.622097702635134e-15,0
729.3584905660377,-2.5830798393759173e-13,3.3459790248522568e-21,0.8544859774476534,0.0,5.080159684049351e-13,-5.150381440578673e-13,-3.511087826466087e-15,0
763.1698113207547,1.7863995673335632e-13,3.923616998768234e-21,0.8298121836350286,0.0,5.215523341761262e-13,-5.12735288562987e-13,4.408522806569669e-15,0
796.9811320754717,-1.544691070853503e-13,2.7335211845961112e-21,0.8867534426976463,0.0,5.16145625762943e-13,-5.20568382640797e-13,-2.2113784389269965e-15,0
830.7924528301887,4.2357156067319386e-13,4.781734928014499e-21,0.8022598790205961,0.0,6.033189158907502e-13,-5.736790376396346e-13,1.4819939125557842e-14,0
864.6037735849056,-3.3064641331773585e-13,4.980127505254253e-21,0.8351560359832448,0.0,6.249977685122857e-13,-6.219322250645003e-13,1.5327717238926948e-15,0
898.4150943396227,-8.241586419145239e-14,7.204613086537869e-21,0.8238718851985685,0.0,6.123907370366375e-13,-6.155436110640628e-13,-1.5764370137126788e-15,0
932.2264150943396,-3.4456708943596533e-13,1.0303383847627051e-20,0.7957181323456084,0.0,6.299619062118164e-13,-6.576141125551169e-13,-1.382610317165027e-14,0
966.0377358490566,-2.987343472914835e-13,1.1671765926502204e-20,0.8350485318747031,0.0,6.350976983639419e-13,-6.823987491292999e-13,-2.3650525382679e-14,0
999.8490566037736,1.385204206237395e-12,5.11375988446041e-21,0.7822025705141298,0.0,1.1321281076120117e-12,-1.0855055096026982e-12,2.33112990046568e-14,0
1033.660377358491,-1.0138211414782232e-12,1.5128294838288396e-20,0.8605180457220409,0.0,1.2601093162477019e-12,-1.2803984885921228e-12,-1.0144586172210301e-14,0
1067.4716981132076,8.301344671741538e-14,1.381822515729704e-20,0.87006311715241,0.0,1.243693197310851e-12,-1.2581599925996698e-12,-7.233397644409497e-15,0
1101.2830188679245,9.013852861781128e-13,1.13543641201282e-20,0.8780304531618479,0.0,1.370257924966198e-12,-1.3296569212354702e-12,2.0300501865363904e-14,0
1135.0943396226414,-5.440350518361917e-13,1.3302709195120728e-20,0.8439929519179588,0.0,1.3755281100918545e-12,-1.368123315402395e-12,3.7023973447299185e-15,0
