Relative Time (s),Velocity (m/s),Average Power ((m/s)^2/Hz),Weighted Frequency (Hz),Dominant Frequency (Hz),Velocity Upper Band,Velocity Lower Band,Moving Average,is_seismic
19.32075471698113,0.0155900690176724,1.8276339918242632e-11,0.2844767197466338,0.0,0.0,-0.0,0.0146659395592501,0
53.13207547169812,0.0155987485764144,4.702701694420401e-10,0.4657936896400697,0.0,3.277684308151508e-05,2.587521029507554e-05,0.0156882537256182,0
86.94339622641509,0.0155883356486816,8.87305000660764e-10,0.807934816756293,0.0,2.7727382801358436e-05,2.596530310138437e-05,0.0152113734456127,0
120.75471698113208,0.0155899539730428,5.411773330439771e-09,0.6335887568169191,0.0,2.311512608348259e-05,2.289493554169852e-05,0.0150682397589358,0
154.56603773584905,0.0157604325914633,6.312218161218808e-08,0.4596163845946464,0.0,0.0003805854444366,0.0002947919187192,0.0230142289936319,0
188.377358490566,0.0154235545304375,1.2970241309037629e-08,0.595424298529116,0.0,0.000475843568328,0.0004755461717797,0.0150852601133695,0
222.18867924528303,0.0155907923821523,1.2233381163243249e-08,0.6228428483460569,0.0,0.0004343926568091,0.0004344688629116,0.015049700276164,0
256.0,0.0155778854376364,8.594249370225596e-10,0.6244148663663694,0.0,0.000400718766347,0.0004051715708625,0.014642972131035,0
289.811320754717,0.015600987933829,5.462100166530392e-09,0.5876216692491123,0.0,0.0003767386853069,0.000378077505811,0.0149313184904216,0
323.62264150943395,0.0154900403610465,4.1613906775438064e-08,0.6315600068406444,0.0,0.0003699082620792,0.0003969329355014,0.0125484231889869,0
357.4339622641509,0.0151794543242178,3.632060080595522e-06,0.5890779324021329,0.0,0.0005905651120658,0.0007103590791273,0.0039474902616576,0
391.245283018868,0.0128144431561503,4.352190745709602e-05,0.3886784945746042,0.0,0.0032091377766231,0.0039072888002499,-0.0496467460474903,0
425.0566037735849,0.0160077717588642,3.945662437552319e-05,0.6206451399499584,0.0,0.0032299917479255,0.0037932241910242,-0.0371305781188715,0
458.8679245283019,0.0180273118794376,3.213469510762084e-05,0.4267739640182553,0.0,0.0045793234549782,0.0046609067384937,0.0075789587885934,0
492.6792452830189,0.0162999398116376,2.7431308572544224e-05,0.4342580828101511,0.0,0.0045542217966587,0.0045105291641288,0.0191996248371884,0
526.4905660377359,0.0168208522601582,9.783045919435912e-05,0.4853592190401416,0.0,0.0046989751272165,0.004463029552496,0.0370371092576944,0
560.3018867924528,0.0135285276666947,0.0001266309203389,0.3512647005954193,0.0,0.0049647011101188,0.0050509507920821,0.0071544723770757,0
594.1132075471698,0.0184889315669678,0.0002264194029592,0.5141380006368325,0.0,0.005910557497064,0.0055835639638445,0.0455095502218581,0
627.9245283018868,0.0118503375716745,4.680976587122745e-05,0.5086391521952821,0.0,0.0067435087987066,0.006934037340435,-0.0024802153826183,0
661.7358490566038,0.0157560673831969,3.215523790251828e-06,0.5282316858716198,0.0,0.0065805685484949,0.0067407402228495,0.000332289462815,0
695.5471698113207,0.0168576869961956,0.0001878964606152,0.5476252982492539,0.0,0.0066188765861569,0.0066184135436579,0.0152343932654166,0
