Relative Time (s),Velocity (m/s),Average Power ((m/s)^2/Hz),Weighted Frequency (Hz),Dominant Frequency (Hz),Velocity Upper Band,Velocity Lower Band,Moving Average
1.28,0.3020120646162754,0.0,0.8282058031561469,0.0,0.0,-0.0,0.6624982212121904
3.52,0.30201172000024656,1.3358214109751044e-13,0.5612602367225773,0.0,1.2718046199377173e-06,1.4981876284904765e-06,0.6624863097867324
5.76,0.3020082194353735,3.544320377117306e-11,0.41893452168745804,0.0,1.1305291190068685e-05,1.5118129085983573e-05,0.6624016761695029
8.0,0.30201999463236984,1.7616198062813223e-10,0.8003642501790994,0.0,3.4295345261338063e-05,2.842705667672802e-05,0.6625628603148943
10.24,0.30200784816177806,3.819823799601117e-10,0.3842060502548861,0.0,3.178418906400973e-05,2.9675895492060268e-05,0.6624916369082636
12.48,0.3019514622723227,9.02412940145354e-10,0.727233362135388,0.0,0.00014505045027050564,0.00017041041086644359,0.6617945076263008
14.72,0.3019882579868447,4.209051633887805e-09,0.9118710352225571,0.0,0.00013085858233640466,0.0001639625567480697,0.6616599351600763
16.96,0.30194815957803334,9.300776412215663e-09,0.5221192266463235,0.0,0.00015108716430966415,0.0002053732957370321,0.6612125120553625
19.2,0.3019947130907312,9.082800298194133e-09,0.5975054212816374,0.0,0.00013936460216498506,0.00019396165794641464,0.6612220921790668
21.44,0.3020349486762215,3.793660409847339e-09,0.4045060155544173,0.0,0.0001581116778122264,0.00019703340359378347,0.6615078995663288
23.68,0.30207896528086486,3.5170418536639025e-09,0.401942339729193,0.0,0.00022456090730317853,0.0002332536350460427,0.6620183610416512
25.92,0.30201159789092347,1.8411647730422953e-09,0.7843804131715169,0.0,0.00021484476114172143,0.00022231536902275447,0.6620556607136006
28.16,0.30197540815889856,1.3633084987557325e-08,0.5184414607692852,0.0,0.0002076678551887587,0.00022373350722362055,0.6618947797916672
30.4,0.30188113405790173,2.175496277623322e-08,0.6667925831987429,0.0,0.0002705891800453084,0.00031280794593052376,0.6612913787094743
32.64,0.3021835244265385,5.168779345398979e-07,0.6453716263386515,0.0,0.0004235265891846002,0.00041150517103354523,0.6621620208912904
34.88,0.30224813345956214,4.344140700907226e-07,0.6066816697127025,0.0,0.0005934037255831517,0.0005174104266114908,0.6632029788703329
37.12,0.3012458215990974,8.672910555497922e-07,0.439603356240924,0.0,0.0012851024560699659,0.0013214111598455383,0.6600456773759253
39.36,0.30190013524222326,1.6354386234645035e-07,0.5069430280864136,0.0,0.0012421028620191123,0.0012961224726149158,0.65975206704487
41.6,0.30229430642865385,3.1884088231540996e-07,0.6467707535652397,0.0,0.0013248670390878156,0.0013142373951550088,0.6609234964070039
43.84,0.30225286819015396,2.5167847056363734e-06,0.5110240865084871,0.0,0.0013677256069489522,0.0013082727297593862,0.6618345542980686
46.08,0.30284908199373795,8.249670104856401e-07,0.31809833658054665,0.0,0.0018696246789659103,0.0016357126025756431,0.664621486331912
48.32,0.3021623445143886,9.593722496524734e-07,0.7816653857539375,0.0,0.0018439478481247324,0.0015928377165272383,0.6649971856842611
50.56,0.3035025558313531,5.070695987013757e-07,0.5003607582670372,0.0,0.0028212671914888965,0.002283652786475686,0.669368347624707
52.8,0.30370991720466,1.970374173541538e-06,0.3747762797964812,0.0,0.003656589683446732,0.002830341655289056,0.6739725218142836
55.04,0.3025256360923734,6.881196872401886e-07,0.288588009106944,0.0,0.0036435157432407,0.0027697082190783055,0.6749336505035146
57.28,0.30217506330652033,1.2106106482912874e-06,0.6035040988941114,0.0,0.003575552122613991,0.002708610228114607,0.6748887449220353
59.52,0.3006864652028438,1.1531430679196216e-06,0.5069962865660089,0.0,0.003930191245394654,0.003233435021044202,0.6710358760202384
61.76,0.30240291578735357,3.5693064306632807e-06,0.38726034964097233,0.0,0.0038938896026914686,0.0031663224103508237,0.6716959249639567
64.0,0.3026530851022766,2.0982447812507554e-06,0.5364819491291422,0.0,0.003913714860896364,0.003123772458276342,0.6729067937848157
66.24,0.3016194309704727,1.019844820674278e-06,0.34856743573795274,0.0,0.00387516637069939,0.003150924787504573,0.6716550998538737
68.48,0.30076986200168787,2.1538948679153707e-06,0.48570472247418395,0.0,0.004079863983339777,0.003496271942809167,0.6685896577659949
70.72,0.3025363830369394,6.967962699014522e-07,0.5767577823456461,0.0,0.0040745515675182885,0.003443822861219777,0.6695319703710785
72.96,0.29931592383340666,7.823725749308779e-06,0.43131587249993364,0.0,0.005008144728948805,0.004609617545626301,0.6636709279317787
75.2,0.3003118269528555,1.929263125774849e-06,0.6660899482939722,0.0,0.005202742715625104,0.004967019426035608,0.6601795193797493
77.44,0.29899912486844915,9.989710883154941e-06,0.5534251858972958,0.0,0.005923071129863268,0.005935179349996197,0.6542948952787626
79.68,0.3032886770316552,8.77007291324493e-07,0.5403131480063115,0.0,0.006095145745339196,0.005960555480289007,0.6569741690592437
81.92,0.3043060747051791,6.0517749101060215e-06,0.6571411614810819,0.0,0.0066358486943687255,0.006241087345560184,0.6614094647278732
84.16,0.3005254145712153,3.906462690357949e-06,0.30799212338947635,0.0,0.006655517652213053,0.006394296966012772,0.6587336384750311
86.4,0.30370749100631045,4.332932327027229e-06,0.9616370891848613,0.0,0.006897141687965652,0.006463219798817087,0.6618353607779046
88.64,0.30199945911683934,4.371739571064993e-06,0.5649547915508975,0.0,0.006807771140310199,0.00638016382472123,0.6618301472505854
